Title/Details,Site: in Papers Section?,Site: Public?,Date (D/M/Y),Venue,Link,Site: Link to Paper,Site: Link to Github,Site: Alt Source,Abstract,Site: Blurb,Site: Link to Blog Post,Site: List of Authors,Site: Venue,Site: codename,Status
No right to an explanation,Yes,Yes,08/05/2025,Philosophy and Phenomenological Research,https://onlinelibrary.wiley.com/doi/full/10.1111/phpr.70008,https://onlinelibrary.wiley.com/doi/full/10.1111/phpr.70008,no github,,"An increasing number of complex and important decisions are now being made with the aid of opaque algorithms. This has led to calls from both theorists and legislators for the implementation of a right to an explanation for algorithmic decisions. In this paper, we argue that, in most cases and for most kinds of explanations, there is no such right. After differentiating a number of different things that might be meant by a ‘right to an explanation,’ we argue that, for the most plausible and popular versions (a right to an explanation for a specific bureaucratic decision, a right to an explanation grounded in public reason considerations, or a right to a higher-level explanation of an entire system of automated decision-making), such a right is either superfluous, impossible to obtain, or not the best way to secure the relevant normative goods. We also argue that proponents of a right to an explanation carve off certain kinds of automated decisions as requiring more justification than others in similar areas of social (and natural) science policy, a demarcation we argue is unjustified. While there will be some cases where an explanation is the only thing that can secure an important normative good (e.g. when an explanation is the only thing that would catch an unjustified individual decision), we argue these cases are too rare and scattered to ground something as weighty as a right to an explanation.","Critiques the idea of a general right to an explanation for opaque algorithmic decisions, separating legitimate demands for accountability from a blanket explanatory entitlement.",no post yet,"Brett Karlan, Henrik D. Kugelberg",Philosophy and Phenomenological Research,no-right-explanation,
AI Agents and Democratic Resilience,Yes,Yes,09/04/2025,Carnegie Endowment for International Peace and Knight First Amendment Institute,https://knightcolumbia.org/content/ai-agents-and-democratic-resilience,https://knightcolumbia.org/content/ai-agents-and-democratic-resilience,no github,,<NO ABSTRACT (non-academic article)>,"Examines how AI agents could affect democratic institutions, focusing on risks of manipulation, dependency, and concentration as well as conditions for democratic resilience.",no post yet,Seth Lazar & Mariano-Florentino Cuéllar,Knight First Amendment Institute,ai-agents-democratic-resilience,Published
"Build Agent Advocates, Not Platform Agents",Yes,Yes,05/02/2025,International Conference on Machine Learning,https://arxiv.org/abs/2505.04345,https://proceedings.mlr.press/v267/kapoor25a.html,no github,,"Language model agents are poised to mediate how people navigate and act online. If the companies that already dominate internet search, communication, and commerce—or the firms trying to unseat them—control these agents, the resulting platform agents will likely deepen surveillance, tighten lock-in, and further entrench incumbents. To resist that trajectory, this position paper argues that we should promote agent advocates: user-controlled agents that safeguard individual autonomy and choice. Doing so demands three coordinated moves: broad public access to both compute and capable AI models that are not platform-owned, open interoperability and safety standards, and market regulation that prevents platforms from foreclosing competition.

","Argues that online agents should be designed as advocates for users rather than extensions of dominant platforms, with governance and technical choices that preserve user agency.",no post yet,"Sayash Kapoor, Noam Kolt, Seth Lazar",International Conference on Machine Learning,agent-advocates,Published
Governing the Algorithmic City,Yes,Yes,27/01/2025,Philosophy & Public Affairs,https://onlinelibrary.wiley.com/doi/10.1111/papa.12279?af=R,https://onlinelibrary.wiley.com/doi/10.1111/papa.12279?af=R,no github,,<NO ABSTRACT (unusual article?)>,"Analyzes how algorithmic systems govern urban life and asks what democratic legitimacy, authority, and accountability require when city administration becomes computational.",no post yet,Seth Lazar,Philosophy & Public Affairs,governing-algorithmic-city,Published
Anticipatory AI Ethics,Yes,Yes,05/01/2025,Knight First Amendment Institute,https://knightcolumbia.org/content/anticipatory-ai-ethics,https://knightcolumbia.org/content/anticipatory-ai-ethics,no github,,"Anticipating and steering the societal impacts of frontier artificial intelligence (AI) systems demands a kind of speculation that often faces both moral and epistemic objections. For example, some contend that “anticipatory AI ethics” amplifies AI hype and draws attention away from present-day harms or that it rests on dubious technological determinism and shaky, predictably false predictions. In response, this essay defends an approach to anticipatory ethics grounded in epistemic humility and a clearly defined technological horizon: the range of possible worlds that can be reasonably well-understood given what we know now about AI and the social structures into which it will be deployed. It then raises a crucial question: Are genuinely transformative AI systems within or beyond this horizon?","Defends anticipatory AI ethics as a necessary way to reason about frontier systems before harms fully materialize, while addressing worries about speculative and misdirected governance.",no post yet,Seth Lazar,Knight First Amendment Institute,anticipatory-ai-ethics,Published
The Rise and Fall (and Rise Again) of the First AI Agent Millionaire,Yes,Yes,24/10/2024,Tech Policy Press,https://www.techpolicy.press/the-rise-and-fall-and-rise-again-of-the-first-ai-agent-millionaire/,https://www.techpolicy.press/the-rise-and-fall-and-rise-again-of-the-first-ai-agent-millionaire/,no github,,<NO ABSTRACT (non-academic article)>,"Uses the story of an autonomous crypto-trading agent to examine how AI agents, markets, hype, and responsibility interact when software begins acting in public economic environments.",no post yet,Seth Lazar,Tech Policy Press,agent-millionaire,Published
Automatic Authorities: Power and AI — Collaborative Intelligence chapter,Yes,Yes,04/09/2024,Collaborative Intelligence eds Lane and Sethumadhavi,https://arxiv.org/abs/2404.05990,https://doi.org/10.7551/mitpress/14962.003.0004,no github,https://arxiv.org/abs/2404.05990,"As rapid advances in Artificial Intelligence and the rise of some of history's most potent corporations meet the diminished neoliberal state, people are increasingly subject to power exercised by means of automated systems. Machine learning and related computational technologies now underpin vital government services. They connect consumers and producers in new algorithmic markets. They determine how we find out about everything from how to vote to where to get vaccinated, and whose speech is amplified, reduced, or restricted. And a new wave of products based on Large Language Models (LLMs) will further transform our economic and political lives. Automatic Authorities are automated computational systems used to exercise power over us by determining what we may know, what we may have, and what our options will be. In response to their rise, scholars working on the societal impacts of AI and related technologies have advocated shifting attention from how to make AI systems beneficial or fair towards a critical analysis of these new power relations. But power is everywhere, and is not necessarily bad. On what basis should we object to new or intensified power relations, and what can be done to justify them? This paper introduces the philosophical materials with which to formulate these questions, and offers preliminary answers. It starts by pinning down the concept of power, focusing on the ability that some agents have to shape others' lives. It then explores how AI enables and intensifies the exercise of power so understood, and sketches three problems with power and three ways to solve those problems. It emphasises, in particular, that justifying power requires more than satisfying substantive justificatory criteria; standards of proper authority and procedural legitimacy must also be met. We need to know not only what power may be used for, but how it may be used, and by whom.","Examines how automated systems exercise power, arguing that AI can become an authority-like structure that shapes options, attention, and social relations.",no post yet,Seth Lazar,Book Chapter,automatic-authorities-collaborative,Published
"Legitimacy, Authority, and Democratic Duties of Explanation",Yes,Yes,30/04/2024,Oxford Studies in Political Philosophy Volume 10 (edited by David Sobel and Steven Wall),https://doi.org/10.1093/oso/9780198909460.003.0002,https://doi.org/10.1093/oso/9780198909460.003.0002,no github,,"Increasingly secret, complex, and inscrutable computational systems are being used to intensify existing power relations and to create new ones; in particular, they are being used to govern. To be all-things-considered morally permissible new, or newly intense, power relations must meet standards of procedural legitimacy and proper authority. This is necessary for them to protect and realise democratic values of individual liberty, relational equality, and collective self-determination. For governing power in particular to be legitimate and have proper authority, it must meet a publicity requirement: reasonably competent members of the governed community must be able to determine that they are being governed legitimately and with proper authority. The publicity requirement can be satisfied only if the powerful can explain their decision-making to members of their political community. At least some duties of explanation are therefore democratic duties. This chapter first sets out the foregoing argument, then applies it to opaque computational systems, and clarifies precisely what kinds of explanations are necessary to fulfil these democratic values.","Argues that computational systems used to govern people can trigger democratic duties of explanation, especially when opaque systems intensify or create relations of power.",no post yet,Seth Lazar,Oxford Studies in Political Philosophy,democratic-duties-explanation,Published
Position: On the Societal Impact of Open Foundation Models,Yes,Yes,27/02/2024,International Conference on Machine Learning,https://arxiv.org/abs/2403.07918,https://arxiv.org/abs/2403.07918,no github,,"Foundation models are powerful technologies: how they are released publicly directly shapes their societal impact. In this position paper, we focus on open foundation models, defined here as those with broadly available model weights (e.g. Llama 2, Stable Diffusion XL). We identify five distinctive properties (e.g. greater customizability, poor monitoring) of open foundation models that lead to both their benefits and risks. Open foundation models present significant benefits, with some caveats, that span innovation, competition, the distribution of decision-making power, and transparency. To understand their risks of misuse, we design a risk assessment framework for analyzing their marginal risk. Across several misuse vectors (e.g. cyberattacks, bioweapons), we find that current research is insufficient to effectively characterize the marginal risk of open foundation models relative to pre-existing technologies. The framework helps explain why the marginal risk is low in some cases, clarifies disagreements about misuse risks by revealing that past work has focused on different subsets of the framework with different assumptions, and articulates a way forward for more constructive debate. Overall, our work helps support a more grounded assessment of the societal impact of open foundation models by outlining what research is needed to empirically validate their theoretical benefits and risks.","Analyzes the societal impact of open foundation models, mapping benefits and risks of release decisions and arguing for clearer governance around openness.",no post yet,"Sayash Kapoor, Rishi Bommasani, Kevin Klyman, Shayne Longpre, Ashwin Ramaswami, Peter Cihon, Aspen Hopkins, Kevin Bankston, Stella Biderman, Miranda Bogen, Rumman Chowdhury, Alex Engler, Peter Henderson, Yacine Jernite, Seth Lazar, Stefano Maffulli, Alondra Nelson, Joelle Pineau, Aviya Skowron, Dawn Song, Victor Storchan, Daniel Zhang, Daniel E. Ho, Percy Liang, Arvind Narayanan",International Conference on Machine Learning,open-foundation-models,Published
Can Democracy Survive Artificial General Intelligence?,Yes,Yes,14/02/2024,Tech Policy Press,https://www.techpolicy.press/can-democracy-survive-artificial-general-intelligence/,https://www.techpolicy.press/can-democracy-survive-artificial-general-intelligence/,,,,Assesses the political risks that artificial general intelligence could pose for democratic institutions and self-government.,,"Seth Lazar, Alex Pascal",Tech Policy Press,democracy-survive-agi,Published
Frontier AI Ethics,Yes,Yes,13/02/2024,Aeon,https://aeon.co/essays/can-philosophy-help-us-get-a-grip-on-the-consequences-of-ai,https://aeon.co/essays/can-philosophy-help-us-get-a-grip-on-the-consequences-of-ai,no github,,<NO ABSTRACT (non-academic article)>,"Sets out why frontier AI requires ethical attention before its impacts are fully settled, connecting uncertainty, anticipation, and institutional responsibility.",no post yet,Seth Lazar,Aeon,frontier-ai-ethics,Published
"Attention, moral skill, and algorithmic recommendation",Yes,Yes,22/01/2024,Philosophical Studies,https://doi.org/10.1007/s11098-023-02083-6,https://doi.org/10.1007/s11098-023-02083-6,no github,,"Recommender systems are artificial intelligence technologies, deployed by online platforms, that model our individual preferences and direct our attention to content we’re likely to engage with. As the digital world has become increasingly saturated with information, we’ve become ever more reliant on these tools to efficiently allocate our attention. And our reliance on algorithmic recommendation may, in turn, reshape us as moral agents. While recommender systems could in principle enhance our moral agency by enabling us to cut through the information saturation of the internet and focus on things that matter, as they’re currently designed and implemented they’re apt to interfere with our ability to attend appropriately to morally relevant factors. In order to analyze the distinctive moral problems algorithmic recommendation poses, we develop a framework for the ethics of attention and an account of judicious attention allocation as a moral skill. We then discuss empirical evidence suggesting that attentional moral skill can be thwarted and undermined in various ways by algorithmic recommendation and related affordances of online platforms, as well as economic and technical considerations that support this concern. Finally, we consider how emerging technologies might overcome the problems we identify.","Argues that recommender systems shape moral attention and skill by directing what users notice, practice, and value in online environments.",no post yet,"Nick Schuster, Seth Lazar ",Philosophical Studies,attention-moral-skill,Published
"Normative Theory and AI (edited by Seth Lazar, Claire Benn, Todd Karhu, and Pamela Robinson)",Yes,Yes,07/12/2023,Philosophical Studies,https://link.springer.com/collections/ccgjbejhce,https://link.springer.com/collections/ccgjbejhce,no github,,"As humanity comes to rely on ever more sophisticated forms of artificial intelligence (AI), we face pressing normative questions about what to do with AI technology. But designing socially acceptable AI systems isn’t just a matter of taking our best existing normative theories and putting them into practice. AI systems have a quite different set of capacities and constraints than those we face as humans. As we employ expert knowledge and experimentation in advancing AI, we have to revise our existing normative theories, and confront challenging questions that wouldn’t have occurred to us in the absence of this exploration. This special issue explores how thinking about AI invites us to make first-order progress in normative theory—across normative ethics, metaethics, social epistemology, action theory and beyond.

","Introduces a special issue on normative theory and AI, showing how debates in moral and political philosophy can sharpen questions about AI design and governance.",no post yet,"edited by Seth Lazar, Claire Benn, Todd Karhu, Pamela Robinson",Philosophical Studies,normative-theory-ai,Published
Communicative Justice and the Distribution of Attention — Knight article,Yes,Yes,10/10/2023,Knight First Amendment Institute,https://knightcolumbia.org/content/communicative-justice-and-the-distribution-of-attention,https://knightcolumbia.org/content/communicative-justice-and-the-distribution-of-attention,no github,,<NO ABSTRACT (non-academic article)>,"Develops a view of communicative justice focused on how attention is distributed, asking how platforms and algorithmic systems shape who gets heard.",no post yet,Seth Lazar,Knight First Amendment Institute,communicative-justice-attention,Published
On the site of predictive justice,Yes,Yes,27/08/2023,Nous,https://doi.org/10.1111/nous.12477,https://doi.org/10.1111/nous.12477,no github,,"Optimism about our ability to enhance societal decision-making by leaning on Machine Learning (ML) for cheap, accurate predictions has palled in recent years, as these ‘cheap’ predictions have come at significant social cost, contributing to systematic harms suffered by already disadvantaged populations. But what precisely goes wrong when ML goes wrong? We argue that, as well as more obvious concerns about the downstream effects of ML-based decision-making, there can be moral grounds for the criticism of these predictions themselves. We introduce and defend a theory of predictive justice, according to which differential model performance for systematically disadvantaged groups can be grounds for moral criticism of the model, independently of its downstream effects. As well as helping resolve some urgent disputes around algorithmic fairness, this theory points the way to a novel dimension of epistemic ethics, related to the recently discussed category of doxastic wrong.","Examines where predictive systems should be used in social decision-making, arguing that machine-learning predictions create justice concerns at the site of deployment.",no post yet,"Seth Lazar, Jake Stone",Nous,predictive-justice,Published
AI Safety on Whose Terms?,Yes,Yes,14/07/2023,Science,https://www.science.org/doi/10.1126/science.adi8982,https://www.science.org/doi/10.1126/science.adi8982,,,,"Argues that debates about AI safety must confront whose interests, values, and political priorities shape the safety agenda.",,"Seth Lazar, Alondra Nelson",Science,ai-safety-whose-terms,Published
"The Political Philosophy of Data and AI (edited by Seth Lazar, Kate Vredenburgh, and Annette Zimmermann)",Yes,Yes,08/05/2022,Canadian Journal of Philosophy,https://www.cambridge.org/core/journals/canadian-journal-of-philosophy/issue/9C68757D84B068B95C313F687778E7FD,https://www.cambridge.org/core/journals/canadian-journal-of-philosophy/issue/9C68757D84B068B95C313F687778E7FD,no github,,<NO ABSTRACT (edited collection)>,"Introduces a collection on political philosophy, data, and AI, bringing together work on power, justice, legitimacy, and governance in computational societies.",no post yet,"edited by Annette Zimmermann, Kate Vredenburgh, Seth Lazar",Canadian Journal of Philosophy,political-philosophy-data-ai,Published
Automatic Authorities: Power and AI — Oxford Handbook chapter,Yes,Yes,14/02/2022,The Oxford Handbook of AI Governance (edited by Justin B. Bullcock et al.),https://doi.org/10.1093/oxfordhb/9780197579329.013.12,https://doi.org/10.1093/oxfordhb/9780197579329.013.12,no github,,"AI and related computational systems are being used by some to exercise power over others. This is especially clear in our online lives, which are increasingly structured and governed by computational systems using some of the most advanced techniques in AI. But it is also apparent in our offline lives, as computational systems using AI are used by powerful actors, including states, local government, and employers. Proponents of various principles of “AI Ethics” sometimes imply that the sole normative function of those principles is to ensure that AI is used to achieve socially acceptable goals. Drawing attention to the ways in which AI systems are used to exercise power demonstrates the inadequacy of this normative analysis. When new and intensified power relations develop, we must attend not only to what power is used for, but also to how and by whom it is used.

","Argues that AI and computational systems increasingly exercise power over people, requiring political-philosophical analysis of authority, legitimacy, and accountability.",no post yet,Seth Lazar,Oxford Handbook of AI Governance,automatic-authorities-oxford,Published
What’s Wrong with Automated Influence,Yes,Yes,24/09/2021,Canadian Journal of Philosophy,https://doi.org/10.1017/can.2021.23,https://doi.org/10.1017/can.2021.23,no github,,"Automated Influence is the use of Artificial Intelligence (AI) to collect, integrate, and analyse people’s data in order to deliver targeted interventions that shape their behaviour. We consider three central objections against Automated Influence, focusing on privacy, exploitation, and manipulation, showing in each case how a structural version of that objection has more purchase than its interactional counterpart. By rejecting the interactional focus of “AI Ethics” in favour of a more structural, political philosophy of AI, we show that the real problem with Automated Influence is the crisis of legitimacy that it precipitates.","Analyzes targeted AI-driven influence, identifying objections grounded in autonomy, fairness, and communicative justice rather than treating persuasion as automatically wrongful.",no post yet,"Claire Benn, Seth Lazar",Canadian Journal of Philosophy,automated-influence,Published
"Proceedings of the 2021 AAAI/ACM Artificial Intelligence, Ethics, and Society Conference",Yes,Yes,21/07/2021,"Artificial Intelligence, Ethics, and Society Conference",https://dl.acm.org/doi/proceedings/10.1145/3461702,https://dl.acm.org/doi/proceedings/10.1145/3461702,,,,"Co-edited proceedings of the 2021 Artificial Intelligence, Ethics, and Society Conference.",,"Seth Lazar, Marion Fourcade, Ben Kuipers, Deirdre Mulligan","Artificial Intelligence, Ethics, and Society Conference",aies-2021-proceedings,Published
